SCIENTIFIC NAME,LATITUDE,LONGITUDE,OBSERVATION DATE
Pyrocephalus rubinus,-19.22779,-45.01616,2018-04-15
Pyrocephalus rubinus,-21.5324867,-44.6516147,2018-04-30
Pyrocephalus rubinus,-19.22779,-45.01616,2018-04-15
Pyrocephalus rubinus,-16.1332235,-46.3108153,2018-05-06
Pyrocephalus rubinus,-19.8518424,-43.973535,2018-05-26
Pyrocephalus rubinus,-19.8526232,-43.978765,2018-06-06
Pyrocephalus rubinus,-19.8526232,-43.978765,2018-06-03
Pyrocephalus rubinus,-22.1186066,-45.8583937,2018-06-30
Pyrocephalus rubinus,-16.744167,-43.867568,2018-07-28
Pyrocephalus rubinus,-18.9086819,-48.2311606,2018-07-26
Pyrocephalus rubinus,-19.2447147,-45.0320934,2018-07-22
Pyrocephalus rubinus,-19.2100059,-44.9808214,2018-07-23
Pyrocephalus rubinus,-16.744167,-43.867568,2018-07-28
Pyrocephalus rubinus,-16.744167,-43.867568,2018-07-28
Pyrocephalus rubinus,-18.7559361,-49.0203718,2018-07-27
Pyrocephalus rubinus,-20.0095309,-46.0053007,2018-08-17
Pyrocephalus rubinus,-19.4407232,-44.4732601,2018-08-16
Pyrocephalus rubinus,-21.1964785,-45.0513936,2018-08-26
Pyrocephalus rubinus,-19.22779,-45.01616,2018-08-11
Pyrocephalus rubinus,-22.41836,-45.456175,2018-10-06
Pyrocephalus rubinus,-21.2514047,-46.1458205,2019-04-28
Pyrocephalus rubinus,-19.8540835,-43.9748321,2019-05-04
Pyrocephalus rubinus,-16.0488654,-46.2077665,2019-05-04
Pyrocephalus rubinus,-19.8518361,-43.9737225,2019-05-04
Pyrocephalus rubinus,-19.8518361,-43.9737225,2019-06-19
Pyrocephalus rubinus,-19.255748,-45.021766,2019-06-18
Pyrocephalus rubinus,-18.2019209,-43.578862,2019-06-20
Pyrocephalus rubinus,-19.8794241,-47.4619489,2019-06-22
Pyrocephalus rubinus,-19.8518361,-43.9737225,2019-06-01
Pyrocephalus rubinus,-18.5779051,-46.3422245,2019-07-20
Pyrocephalus rubinus,-21.215,-46.5624,2019-07-24
Pyrocephalus rubinus,-20.6088867,-46.4364637,2019-07-06
Pyrocephalus rubinus,-19.210794,-45.002173,2019-07-28
Pyrocephalus rubinus,-20.6251933,-43.7600899,2019-07-10
Pyrocephalus rubinus,-20.0562456,-48.98963,2019-07-13
Pyrocephalus rubinus,-19.8540835,-43.9748321,2019-08-10
Pyrocephalus rubinus,-22.23,-45.93639,2019-08-24
Pyrocephalus rubinus,-17.1939785,-44.6481436,2019-08-18
Pyrocephalus rubinus,-20.9148361,-44.2239147,2019-09-28
Pyrocephalus rubinus,-20.9148361,-44.2239147,2019-09-28
Pyrocephalus rubinus,-19.210794,-45.002173,2019-09-28
Pyrocephalus rubinus,-22.2449,-45.7198,2019-10-19
Pyrocephalus rubinus,-19.8344672,-47.4703378,2020-04-20
Pyrocephalus rubinus,-18.6827698,-48.169002,2020-04-25
Pyrocephalus rubinus,-22.377421,-45.259827,2020-04-21
Pyrocephalus rubinus,-18.6173175,-48.2242717,2020-04-11
Pyrocephalus rubinus,-21.5559295,-45.4351497,2020-04-12
Pyrocephalus rubinus,-18.7946397,-48.2304463,2020-04-10
Pyrocephalus rubinus,-19.9498726,-55.8166409,1988-08-20
Pyrocephalus rubinus,-19.95431,-56.3042772,1990-06-10
Pyrocephalus rubinus,-20.3626526,-56.1593628,1994-07-21
Pyrocephalus rubinus,-20.4704592,-54.6221781,1994-07-25
Pyrocephalus rubinus,-19.0129494,-57.6414442,1994-07-22
Pyrocephalus rubinus,-19.3577936,-57.1289063,1994-07-24
Pyrocephalus rubinus,-19.5556653,-57.0386124,1995-07-07
Pyrocephalus rubinus,-20.7436959,-57.862229,1997-08-12
Pyrocephalus rubinus,-19.9526426,-56.3044081,1998-05-25
Pyrocephalus rubinus,-19.2330993,-56.9186497,2002-05-24
Pyrocephalus rubinus,-19.2330993,-56.9186497,2002-05-23
Pyrocephalus rubinus,-20.2388889,-58.1655556,2002-07-21
Pyrocephalus rubinus,-19.9526426,-56.3044081,2002-10-20
Pyrocephalus rubinus,-19.5751413,-56.2460126,2003-06-23
Pyrocephalus rubinus,-19.5751413,-56.2460126,2003-06-21
Pyrocephalus rubinus,-19.5751413,-56.2460126,2003-06-30
Pyrocephalus rubinus,-19.5751413,-56.2460126,2003-06-29
Pyrocephalus rubinus,-19.5751413,-56.2460126,2003-07-01
Pyrocephalus rubinus,-19.9526426,-56.3044081,2003-09-15
Pyrocephalus rubinus,-19.5556653,-57.0386124,2003-09-01
Pyrocephalus rubinus,-19.9542667,-56.3041376,2004-07-04
Pyrocephalus rubinus,-19.9526426,-56.3044081,2004-08-10
Pyrocephalus rubinus,-19.9526426,-56.3044081,2004-08-11
Pyrocephalus rubinus,-19.9526426,-56.3044081,2005-03-20
Pyrocephalus rubinus,-20.5031804,-54.6679688,2006-05-01
Pyrocephalus rubinus,-17.6649598,-56.4257813,2006-06-15
Pyrocephalus rubinus,-19.5748125,-57.0380652,2006-07-23
Pyrocephalus rubinus,-21.0086408,-56.6674376,2006-08-17
Pyrocephalus rubinus,-20.4128559,-55.7913208,2007-05-09
Pyrocephalus rubinus,-19.5452018,-55.5618031,2007-06-01
Pyrocephalus rubinus,-23.8423527,-54.2584705,2007-07-04
Pyrocephalus rubinus,-23.8423527,-54.2584705,2007-07-10
Pyrocephalus rubinus,-23.8423527,-54.2584705,2007-07-09
Pyrocephalus rubinus,-23.8423527,-54.2584705,2007-07-06
Pyrocephalus rubinus,-23.8423527,-54.2584705,2007-07-07
Pyrocephalus rubinus,-23.8423527,-54.2584705,2007-07-08
Pyrocephalus rubinus,-20.0857721,-56.6153791,2007-08-12
Pyrocephalus rubinus,-20.086267,-56.6147187,2007-08-13
Pyrocephalus rubinus,-20.086267,-56.6147187,2007-08-13
Pyrocephalus rubinus,-19.9526426,-56.3044081,2007-09-07
Pyrocephalus rubinus,-19.9526426,-56.3044081,2007-09-08
Pyrocephalus rubinus,-19.9526426,-56.3044081,2007-09-09
Pyrocephalus rubinus,-19.7475591,-56.3252735,2008-04-21
Pyrocephalus rubinus,-19.7475591,-56.3252735,2008-04-24
Pyrocephalus rubinus,-19.7475591,-56.3252735,2008-04-23
Pyrocephalus rubinus,-23.826196,-54.262314,2008-07-10
Pyrocephalus rubinus,-20.7417118,-56.0544294,2008-09-07
Pyrocephalus rubinus,-20.7417118,-56.0544294,2008-09-06
Pyrocephalus rubinus,-20.5914074,-55.419541,2008-09-11
Pyrocephalus rubinus,-20.5195057,-55.2488237,2008-09-12
Pyrocephalus rubinus,-20.5229363,-55.4054647,2008-09-05
Pyrocephalus rubinus,-20.5362481,-55.8405394,2008-09-13
Pyrocephalus rubinus,-20.5195057,-55.2488237,2008-09-10
Pyrocephalus rubinus,-20.5229363,-55.4054647,2008-09-09
Pyrocephalus rubinus,-20.5581437,-55.7056189,2008-10-10
Pyrocephalus rubinus,-19.7759478,-55.2439863,2009-06-12
Pyrocephalus rubinus,-23.8511451,-54.2852283,2009-07-08
Pyrocephalus rubinus,-20.352427,-56.3889059,2009-07-29
Pyrocephalus rubinus,-19.9526426,-56.3044081,2009-07-28
Pyrocephalus rubinus,-23.826196,-54.262314,2009-07-07
Pyrocephalus rubinus,-19.5769444,-57.0116667,2009-08-10
Pyrocephalus rubinus,-19.5769444,-57.0116667,2009-08-10
Pyrocephalus rubinus,-18.8231169,-57.65625,2009-08-18
Pyrocephalus rubinus,-21.7792814,-56.0315206,2009-09-01
Pyrocephalus rubinus,-21.1715363,-56.4459327,2009-09-10
Pyrocephalus rubinus,-19.5748125,-57.0380652,2009-10-16
Pyrocephalus rubinus,-21.4711336,-54.3942192,2010-02-15
Pyrocephalus rubinus,-20.5505089,-55.9643555,2010-04-05
Pyrocephalus rubinus,-19.1737,-57.26074,2010-04-23
